L1,L2,L3,L4,L5,M12,tb
0.136106,0.296158,0.042414,-0.0694444,-0.329421,-50118.7,2.07321
0.136106,0.296158,0.042414,-0.0694444,-0.329421,-51286.1,2.07321
0.136181,0.296189,0.0424494,-0.0685603,-0.328524,-44668.4,2.07321
0.136181,0.296189,0.0424494,-0.0685603,-0.328524,-45708.8,2.07321
0.136181,0.296189,0.0424494,-0.0685603,-0.328524,-46773.5,2.07321
0.136181,0.296189,0.0424494,-0.0685603,-0.328524,-47863.,2.07321
0.136181,0.296189,0.0424494,-0.0685603,-0.328524,-48977.9,2.07321
0.136181,0.296189,0.0424494,-0.0685603,-0.328524,-50118.7,2.07321
0.136256,0.29622,0.0424842,-0.0676798,-0.32763,-43651.6,2.07321
0.136256,0.29622,0.0424842,-0.0676798,-0.32763,-44668.4,2.07321
0.136256,0.29622,0.0424842,-0.0676798,-0.32763,-45708.8,2.07321
0.136256,0.29622,0.0424842,-0.0676798,-0.32763,-46773.5,2.07321
0.136256,0.29622,0.0424842,-0.0676798,-0.32763,-47863.,2.07321
0.136256,0.29622,0.0424842,-0.0676798,-0.32763,-48977.9,2.07321
0.13633,0.29625,0.0425186,-0.0668029,-0.326739,-42658.,2.07321
0.13633,0.29625,0.0425186,-0.0668029,-0.326739,-43651.6,2.07321
0.13633,0.29625,0.0425186,-0.0668029,-0.326739,-44668.4,2.07321
0.13633,0.29625,0.0425186,-0.0668029,-0.326739,-45708.8,2.07321
0.13633,0.29625,0.0425186,-0.0668029,-0.326739,-46773.5,2.07321
0.13633,0.29625,0.0425186,-0.0668029,-0.326739,-47863.,2.07321
0.136403,0.29628,0.0425525,-0.0659294,-0.325851,-42658.,2.07321
0.136403,0.29628,0.0425525,-0.0659294,-0.325851,-43651.6,2.07321
0.136403,0.29628,0.0425525,-0.0659294,-0.325851,-44668.4,2.07321
0.136403,0.29628,0.0425525,-0.0659294,-0.325851,-45708.8,2.07321
0.136403,0.29628,0.0425525,-0.0659294,-0.325851,-46773.5,2.07321
0.136476,0.29631,0.0425858,-0.0650595,-0.324967,-41686.9,2.07321
0.136476,0.29631,0.0425858,-0.0650595,-0.324967,-42658.,2.07321
0.136476,0.29631,0.0425858,-0.0650595,-0.324967,-43651.6,2.07321
0.136476,0.29631,0.0425858,-0.0650595,-0.324967,-44668.4,2.07321
0.136476,0.29631,0.0425858,-0.0650595,-0.324967,-45708.8,2.07321
0.136549,0.29634,0.0426187,-0.0641931,-0.324086,-40738.,2.07321
0.136549,0.29634,0.0426187,-0.0641931,-0.324086,-41686.9,2.07321
0.136549,0.29634,0.0426187,-0.0641931,-0.324086,-42658.,2.07321
0.136549,0.29634,0.0426187,-0.0641931,-0.324086,-43651.6,2.07321
0.136549,0.29634,0.0426187,-0.0641931,-0.324086,-44668.4,2.07321
0.136621,0.296369,0.0426511,-0.0633301,-0.323208,-39810.7,2.07321
0.136621,0.296369,0.0426511,-0.0633301,-0.323208,-40738.,2.07321
0.136621,0.296369,0.0426511,-0.0633301,-0.323208,-41686.9,2.07321
0.136621,0.296369,0.0426511,-0.0633301,-0.323208,-42658.,2.07321
0.136621,0.296369,0.0426511,-0.0633301,-0.323208,-43651.6,2.07321
0.136693,0.296398,0.0426831,-0.0624706,-0.322333,-38904.5,2.07321
0.136693,0.296398,0.0426831,-0.0624706,-0.322333,-39810.7,2.07321
0.136693,0.296398,0.0426831,-0.0624706,-0.322333,-40738.,2.07321
0.136693,0.296398,0.0426831,-0.0624706,-0.322333,-41686.9,2.07321
0.136693,0.296398,0.0426831,-0.0624706,-0.322333,-42658.,2.07321
0.136765,0.296427,0.0427145,-0.0616145,-0.321462,-38904.5,2.07321
0.136765,0.296427,0.0427145,-0.0616145,-0.321462,-39810.7,2.07321
0.136765,0.296427,0.0427145,-0.0616145,-0.321462,-40738.,2.07321
0.136765,0.296427,0.0427145,-0.0616145,-0.321462,-41686.9,2.07321
0.136836,0.296456,0.0427455,-0.0607618,-0.320593,-38018.9,2.07321
0.136836,0.296456,0.0427455,-0.0607618,-0.320593,-38904.5,2.07321
0.136836,0.296456,0.0427455,-0.0607618,-0.320593,-39810.7,2.07321
0.136836,0.296456,0.0427455,-0.0607618,-0.320593,-40738.,2.07321
0.136836,0.296456,0.0427455,-0.0607618,-0.320593,-41686.9,2.07321
0.136906,0.296485,0.0427761,-0.0599125,-0.319728,-37153.5,2.07321
0.136906,0.296485,0.0427761,-0.0599125,-0.319728,-38018.9,2.07321
0.136906,0.296485,0.0427761,-0.0599125,-0.319728,-38904.5,2.07321
0.136906,0.296485,0.0427761,-0.0599125,-0.319728,-39810.7,2.07321
0.136906,0.296485,0.0427761,-0.0599125,-0.319728,-40738.,2.07321
0.136976,0.296513,0.0428061,-0.0590665,-0.318866,-36307.8,2.07321
0.136976,0.296513,0.0428061,-0.0590665,-0.318866,-37153.5,2.07321
0.136976,0.296513,0.0428061,-0.0590665,-0.318866,-38018.9,2.07321
0.136976,0.296513,0.0428061,-0.0590665,-0.318866,-38904.5,2.07321
0.136976,0.296513,0.0428061,-0.0590665,-0.318866,-39810.7,2.07321
0.137046,0.296541,0.0428358,-0.0582239,-0.318007,-36307.8,2.07321
0.137046,0.296541,0.0428358,-0.0582239,-0.318007,-37153.5,2.07321
0.137046,0.296541,0.0428358,-0.0582239,-0.318007,-38018.9,2.07321
0.137046,0.296541,0.0428358,-0.0582239,-0.318007,-38904.5,2.07321
0.137115,0.296569,0.0428649,-0.0573847,-0.317151,-35481.3,2.07321
0.137115,0.296569,0.0428649,-0.0573847,-0.317151,-36307.8,2.07321
0.137115,0.296569,0.0428649,-0.0573847,-0.317151,-37153.5,2.07321
0.137115,0.296569,0.0428649,-0.0573847,-0.317151,-38018.9,2.07321
0.137184,0.296597,0.0428936,-0.0565488,-0.316298,-34673.7,2.07321
0.137184,0.296597,0.0428936,-0.0565488,-0.316298,-35481.3,2.07321
0.137184,0.296597,0.0428936,-0.0565488,-0.316298,-36307.8,2.07321
0.137184,0.296597,0.0428936,-0.0565488,-0.316298,-37153.5,2.07321
0.137184,0.296597,0.0428936,-0.0565488,-0.316298,-38018.9,2.07321
0.137253,0.296625,0.0429219,-0.0557161,-0.315448,-34673.7,2.07321
0.137253,0.296625,0.0429219,-0.0557161,-0.315448,-35481.3,2.07321
0.137253,0.296625,0.0429219,-0.0557161,-0.315448,-36307.8,2.07321
0.137253,0.296625,0.0429219,-0.0557161,-0.315448,-37153.5,2.07321
0.137321,0.296652,0.0429498,-0.0548867,-0.314602,-33884.4,2.07321
0.137321,0.296652,0.0429498,-0.0548867,-0.314602,-34673.7,2.07321
0.137321,0.296652,0.0429498,-0.0548867,-0.314602,-35481.3,2.07321
0.137321,0.296652,0.0429498,-0.0548867,-0.314602,-36307.8,2.07321
0.137388,0.29668,0.0429772,-0.0540606,-0.313758,-33113.1,2.07321
0.137388,0.29668,0.0429772,-0.0540606,-0.313758,-33884.4,2.07321
0.137388,0.29668,0.0429772,-0.0540606,-0.313758,-34673.7,2.07321
0.137388,0.29668,0.0429772,-0.0540606,-0.313758,-35481.3,2.07321
0.137388,0.29668,0.0429772,-0.0540606,-0.313758,-36307.8,2.07321
0.137456,0.296707,0.0430041,-0.0532378,-0.312917,-33113.1,2.07321
0.137456,0.296707,0.0430041,-0.0532378,-0.312917,-33884.4,2.07321
0.137456,0.296707,0.0430041,-0.0532378,-0.312917,-34673.7,2.07321
0.137456,0.296707,0.0430041,-0.0532378,-0.312917,-35481.3,2.07321
0.137522,0.296733,0.0430307,-0.0524181,-0.31208,-32359.4,2.07321
