L1,L2,L3,L4,L5,M12,tb
0.163288,0.302653,0.127961,-0.338389,-0.17369,-47863.,2.07321
0.163288,0.302653,0.127961,-0.338389,-0.17369,-48977.9,2.07321
0.163288,0.302653,0.127961,-0.338389,-0.17369,-50118.7,2.07321
0.163353,0.302685,0.12803,-0.337796,-0.172409,-44668.4,2.07321
0.163353,0.302685,0.12803,-0.337796,-0.172409,-45708.8,2.07321
0.163353,0.302685,0.12803,-0.337796,-0.172409,-46773.5,2.07321
0.163353,0.302685,0.12803,-0.337796,-0.172409,-47863.,2.07321
0.163353,0.302685,0.12803,-0.337796,-0.172409,-48977.9,2.07321
0.163417,0.302716,0.128099,-0.337208,-0.171131,-43651.6,2.07321
0.163417,0.302716,0.128099,-0.337208,-0.171131,-44668.4,2.07321
0.163417,0.302716,0.128099,-0.337208,-0.171131,-45708.8,2.07321
0.163417,0.302716,0.128099,-0.337208,-0.171131,-46773.5,2.07321
0.163417,0.302716,0.128099,-0.337208,-0.171131,-47863.,2.07321
0.16348,0.302747,0.128166,-0.336624,-0.169856,-42658.,2.07321
0.16348,0.302747,0.128166,-0.336624,-0.169856,-43651.6,2.07321
0.16348,0.302747,0.128166,-0.336624,-0.169856,-44668.4,2.07321
0.16348,0.302747,0.128166,-0.336624,-0.169856,-45708.8,2.07321
0.16348,0.302747,0.128166,-0.336624,-0.169856,-46773.5,2.07321
0.163543,0.302778,0.128233,-0.336046,-0.168584,-41686.9,2.07321
0.163543,0.302778,0.128233,-0.336046,-0.168584,-42658.,2.07321
0.163543,0.302778,0.128233,-0.336046,-0.168584,-43651.6,2.07321
0.163543,0.302778,0.128233,-0.336046,-0.168584,-44668.4,2.07321
0.163543,0.302778,0.128233,-0.336046,-0.168584,-45708.8,2.07321
0.163606,0.302808,0.128299,-0.335472,-0.167315,-40738.,2.07321
0.163606,0.302808,0.128299,-0.335472,-0.167315,-41686.9,2.07321
0.163606,0.302808,0.128299,-0.335472,-0.167315,-42658.,2.07321
0.163606,0.302808,0.128299,-0.335472,-0.167315,-43651.6,2.07321
0.163606,0.302808,0.128299,-0.335472,-0.167315,-44668.4,2.07321
0.163668,0.302838,0.128365,-0.334903,-0.166048,-39810.7,2.07321
0.163668,0.302838,0.128365,-0.334903,-0.166048,-40738.,2.07321
